Players_ID,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1194,194,Tristan Thompson,PF,31,LAL,3,0,7.0,1.0,2.3,0.25,1.0,2.0,3.0,0.7,0.0,0.0,0.3,0.3,2.3
1195,195,Xavier Tillman Sr.,PF,24,MEM,6,6,30.5,4.0,7.5,0.6,2.8,5.2,8.0,3.2,0.7,0.7,0.7,2.8,8.7
1196,196,Obi Toppin,PF,24,NYK,11,1,15.9,2.7,6.4,0.8,0.9,2.6,3.5,0.6,0.7,0.3,0.7,1.1,7.0
1197,197,Karl-Anthony Towns,PF,27,MIN,5,5,36.0,6.4,14.0,0.75,1.2,9.0,10.2,2.0,0.6,0.8,3.6,4.2,18.2
1198,198,P.J. Tucker,PF,37,PHI,10,10,27.4,1.5,4.4,0.667,1.8,3.1,4.9,1.6,1.3,0.2,0.5,2.7,4.3
1199,199,Jarred Vanderbilt,PF,23,LAL,12,11,17.2,1.8,4.5,0.667,1.6,2.1,3.7,0.9,0.8,1.0,1.0,2.2,5.3
1200,200,Gabe Vincent,PG,26,MIA,11,11,29.4,4.2,11.4,0.833,0.4,1.1,1.5,4.8,0.9,0.0,1.8,3.2,11.5
1201,201,Dean Wade,PF,26,CLE,2,0,5.5,0.0,0.5,1.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.0
1202,202,Ish Wainright,SF,28,PHO,6,0,3.5,0.2,0.7,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.3,0.5
1203,203,Lonnie Walker IV,SG,24,LAL,9,0,13.4,2.6,4.9,0.75,0.0,0.9,0.9,0.9,0.6,0.1,0.3,1.1,6.8
1204,204,T.J. Warren,SF,29,PHO,6,0,13.5,1.0,3.2,0.75,0.3,0.8,1.2,0.5,0.2,0.5,0.2,0.8,2.7
1205,205,Yuta Watanabe,SF,28,BRK,1,0,5.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0
1206,206,Peyton Watson,SG,20,DEN,4,0,3.3,0.5,1.3,0.0,0.3,0.8,1.0,0.3,0.0,0.3,0.3,0.5,1.3
1207,207,Russell Westbrook,PG,34,LAC,5,5,38.4,8.6,21.0,0.88,1.8,5.8,7.6,7.4,1.2,1.4,4.0,3.0,23.6
1208,208,Derrick White,SG,28,BOS,12,11,30.7,4.9,9.7,0.952,0.6,2.8,3.4,2.3,0.3,0.8,1.0,1.7,13.7
1209,209,Andrew Wiggins,SF,27,GSW,13,12,34.0,6.4,13.9,0.681,1.8,3.8,5.6,1.9,0.8,1.2,1.3,3.5,16.7
1210,210,Grant Williams,PF,24,BOS,8,0,14.1,1.3,2.8,1.0,0.5,1.1,1.6,1.1,0.4,0.4,0.3,1.4,3.9
1211,211,Robert Williams,C,25,BOS,12,1,21.3,2.9,3.5,0.733,1.6,4.9,6.5,1.3,0.6,1.4,0.8,2.3,6.8
1212,212,Ziaire Williams,SF,21,MEM,4,0,3.0,0.5,1.8,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.3,1.3
1213,213,Trae Young,PG,24,ATL,6,6,38.3,10.0,24.8,0.86,0.8,2.8,3.7,10.2,1.7,0.7,4.0,1.8,29.2
1214,214,Omer Yurtseven,C,24,MIA,2,0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0
1215,215,Cody Zeller,C,30,MIA,10,0,9.1,1.2,1.8,0.25,0.3,2.2,2.5,0.6,0.2,0.0,0.8,1.7,2.6
1216,216,Ivica Zubac,C,25,LAC,5,5,26.0,3.4,6.0,0.75,3.2,6.4,9.6,0.6,0.6,0.2,2.2,1.6,9.2
