Players_ID,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1303,303,Sandro Mamukelashvili,C,23,SAS,19,7,23.3,4.1,9.1,0.692,2.7,4.1,6.8,2.4,0.5,0.4,1.4,1.7,10.8
1304,304,Terance Mann,SG,26,LAC,81,36,23.1,3.4,6.5,0.78,1.0,2.5,3.4,2.3,0.5,0.3,1.0,1.8,8.8
1305,305,Tre Mann,PG,21,OKC,67,5,17.7,2.9,7.5,0.764,0.4,1.9,2.3,1.8,0.6,0.2,0.9,1.5,7.7
1306,306,Boban Marjanovi?,C,34,HOU,31,0,5.5,1.3,1.9,0.741,0.6,1.3,1.9,0.3,0.2,0.1,0.5,0.3,3.3
1307,307,Lauri Markkanen,SF,25,UTA,66,66,34.4,8.7,17.3,0.875,2.0,6.7,8.6,1.9,0.6,0.6,1.9,2.1,25.6
1308,308,Naji Marshall,SF,25,NOP,77,21,23.3,3.2,7.4,0.789,0.6,3.0,3.6,2.5,0.7,0.2,1.3,1.5,9.1
1309,309,Caleb Martin,PF,27,MIA,71,49,29.3,3.6,7.7,0.805,1.2,3.6,4.8,1.6,1.0,0.4,1.1,2.0,9.6
1310,310,Cody Martin,SF,27,CHO,7,0,19.1,2.0,5.1,0.571,1.1,2.3,3.4,1.6,0.6,0.1,0.3,1.9,5.0
1311,311,Kenyon Martin Jr.,SF,22,HOU,82,49,28.0,5.0,8.8,0.68,1.5,4.0,5.5,1.5,0.5,0.4,1.1,1.8,12.7
1312,312,Tyrese Martin,SG,23,ATL,16,0,4.1,0.6,1.4,1.0,0.3,0.4,0.8,0.1,0.1,0.0,0.1,0.1,1.3
1313,313,Garrison Mathews,SG,26,TOT,54,0,12.7,1.4,3.7,0.906,0.2,1.1,1.4,0.5,0.4,0.1,0.4,1.1,4.8
1313,313,Garrison Mathews,SG,26,HOU,45,0,13.4,1.3,3.8,0.911,0.2,1.2,1.4,0.5,0.5,0.1,0.4,1.2,4.8
1313,313,Garrison Mathews,SG,26,ATL,9,0,9.3,1.4,3.4,0.875,0.1,1.1,1.2,0.3,0.1,0.1,0.1,0.7,4.8
